"time","health"
7675,74.0196377
7680,74.0196377
7685,64.4878031
7690,64.4878031
7695,64.4878031
7700,71.4057476
7705,67.2115105
7710,67.2115105
7715,67.2115105
7720,67.2115105
7725,67.2115105
7730,67.2115105
7735,67.2115105
7740,63.0921649
7745,63.0921649
7750,63.0921649
7755,63.0921649
7760,63.0921649
7765,74.0508063
7770,74.0508063
7775,74.0508063
7780,60.4231591
7785,72.5438762
7790,72.5438762
7795,72.5438762
7800,72.5438762
7805,60.2746689
7810,69.9242796
7815,61.742815
7820,65.759787
7825,65.759787
7830,72.6288576
7835,63.0790349
7840,63.0790349
7845,63.0790349
7850,78.0034009
7855,78.0034009
7860,78.0034009
7865,57.7300951
7870,57.7202072
7875,63.1283128
7880,63.1283128
7885,63.1614711
7890,63.0228789
7895,64.4301624
7900,64.4301624
7905,75.3162858
7910,75.3162858
7915,75.3162858
7920,75.3162858
7925,75.3162858
7930,64.4993474
7935,63.0113245
7940,60.8251088
7945,61.7042229
7950,63.0097186
7955,65.7112262
7960,58.9837374
7965,75.2288097
7970,71.2235335
7975,67.1817357
7980,63.1193642
7985,59.3428328
7990,59.3428328
7995,69.8814152
8000,69.8814152
8005,69.8814152
8010,69.8814152
8015,69.8814152
8020,65.7441017
8025,58.9936455
8030,65.7217908
8035,65.7217908
8040,72.611526
8045,72.611526
8050,72.611526
8055,72.611526
8060,72.611526
8065,72.611526
8070,63.0797722
8075,63.0797722
8080,69.8451158
8085,69.8451158
8090,69.8451158
8095,69.8451158
8100,69.8451158
8105,69.8451158
8110,65.8133675
8115,63.0739849
8120,60.3323904
8125,58.9112093
8130,73.914123
8135,73.914123
8140,73.914123
8145,73.914123
8150,63.1102237
8155,63.1102237
8160,63.1102237
8165,63.1102237
8170,63.1102237
8175,63.1102237
8180,60.7885266
8185,64.8640079
8190,64.8640079
8195,64.8640079
8200,64.8640079
8205,69.8376317
8210,69.8376317
8215,69.8376317
8220,63.0682683
8225,72.6264235
8230,65.8084791
8235,65.8084791
8240,72.6947904
8245,78.159355
8250,78.159355
8255,64.7948431
8260,75.378926
8265,75.378926
8270,75.378926
8275,75.378926
8280,67.22055
8285,69.9853442
8290,63.0590571
8295,63.0590571
8300,74.0096185
8305,64.4069829
8310,69.8747795
8315,69.8747795
8320,78.1296004
8325,75.4241942
8330,78.0561633
8335,65.9280025
8340,65.9280025
8345,65.9280025
8350,65.9280025
8355,65.9280025
8360,65.9280025
8365,63.1300904
8370,63.1300904
8375,63.1300904
8380,63.1300904
8385,63.1300904
8390,63.1079108
8395,63.1079108
8400,63.1079108
8405,63.1079108
8410,63.1079108
8415,67.227216
8420,62.0696712
8425,62.0696712
8430,62.0696712
8435,64.3525136
8440,71.3297047
8445,71.3297047
8450,68.5683243
8455,68.5683243
8460,68.5683243
8465,67.2222771
8470,72.5808927
8475,64.4185676
8480,64.4185676
8485,64.4185676
8490,64.4185676
8495,64.4185676
8500,60.498091
8505,60.498091
8510,60.498091
8515,60.498091
8520,60.498091
8525,70.018351
8530,70.018351
8535,70.018351
8540,63.0724598
8545,63.0724598
8550,63.0724598
8555,63.0724598
8560,63.0724598
8565,63.0724598
8570,64.5424239
8575,64.5424239
8580,64.5424239
8585,83.5998917
8590,83.5998917
8595,72.6684294
8600,69.9629626
8605,69.9629626
8610,69.9629626
8615,69.9629626
8620,63.208325
8625,63.208325
8630,63.208325
8635,63.208325
8640,76.7085506
8645,65.857151
8650,65.857151
8655,65.857151
8660,59.1148859
8665,66.0684733
8670,59.2603158
8675,57.6714545
8680,57.6773428
8685,69.8706284
8690,69.8706284
8695,65.7474852
8700,71.3710743
8705,71.3710743
8710,74.0014375
8715,65.9164178
8720,65.9164178
8725,65.9164178
8730,65.9164178
8735,72.696467
8740,72.696467
8745,72.696467
8750,72.696467
8755,72.696467
8760,72.6659145
8765,72.6659145
8770,72.6659145
8775,67.2758374
8780,67.2758374
8785,67.2758374
8790,67.2758374
8795,67.2758374
8800,67.2758374
8805,67.2899673
8810,64.6147298
8815,68.6704555
8820,68.6704555
8825,65.9559694
8830,70.0722547
8835,64.6932573
8840,64.6932573
8845,64.6932573
8850,78.2409529
8855,81.0314415
8860,67.3880484
8865,57.8900993
8870,74.1547353
8875,72.7847814
8880,66.0047322
8885,67.4852508
8890,67.4852508
8895,64.6090334
8900,64.6090334
8905,64.6090334
8910,63.3460789
8915,63.3460789
8920,63.3460789
8925,79.6660528
8930,79.6660528
8935,79.6660528
8940,79.6660528
8945,79.6660528
8950,79.6660528
8955,67.286705
8960,67.286705
8965,67.286705
8970,67.3690604
8975,67.3690604
8980,78.123803
8985,75.4572717
8990,63.1829942
8995,63.1829942
9000,63.1829942
9005,63.1829942
9010,65.8117717
9015,67.2305591
9020,65.8719475
9025,71.3266747
9030,71.3266747
9035,71.3266747
9040,71.3266747
9045,71.3266747
9050,68.6242076
9055,64.603236
9060,57.6921191
9065,76.7432138
9070,65.8875116
9075,65.8875116
9080,69.9753048
9085,67.4987343
9090,67.4987343
9095,67.4987343
9100,67.4987343
9105,67.4987343
9110,68.6531643
9115,68.6531643
9120,68.6531643
9125,68.6531643
9130,68.6531643
9135,80.96463
9140,80.96463
9145,80.96463
9150,80.96463
9155,80.96463
9160,76.78929
9165,61.7619141
9170,72.4837105
9175,68.5401655
9180,68.5401655
9185,65.8512728
9190,65.8512728
