time,ax,ay,az,aT
5.1990,0.7075,-2.5564,-0.8633,2.789
5.2070,-0.8060,-0.0818,1.5043,1.709
5.2160,0.4588,0.1445,-0.1011,0.492
5.2310,-0.2417,0.0024,-0.4125,0.478
5.2360,0.8318,0.0960,0.2650,0.878
5.2500,1.0479,0.6169,1.2418,1.738
5.2560,0.5154,-0.0257,1.8126,1.885
5.2780,0.3058,-1.0777,0.2155,1.141
5.2800,-0.3487,-1.2462,-0.0133,1.294
5.2870,0.0280,-1.5768,0.5503,1.670
5.3150,0.7623,0.3316,0.2604,0.871
5.3180,0.5008,1.0792,0.5009,1.291
5.3190,0.0287,1.2943,-0.8543,1.551
5.3300,0.3602,0.3757,-0.8184,0.970
5.3350,0.3577,-0.8989,1.0946,1.461
5.3500,0.9721,-1.6354,0.6600,2.014
5.3560,0.6139,-2.0082,0.9016,2.285
5.3690,-1.4980,-0.1759,-0.4608,1.577
5.3760,-0.6834,1.2646,-2.9137,3.249
5.4040,-0.4698,1.2672,-0.4573,1.427
5.4050,-0.1397,0.8222,0.9553,1.268
5.4070,1.6246,1.8258,-0.7852,2.567
5.4160,0.8598,3.0407,0.0073,3.160
5.4260,-0.6340,-0.5025,-1.0650,1.337
5.4360,-0.0111,-1.2362,0.7847,1.464
